"title","category_name","view_count","like_count","comment_count","published_at","thumbnail_url","tags","subscriber_count","video_count","is_weekend","video_length"
"WBG vs BLG (BO5) | CKTG 2024 - Bán Kết 1 | 26.10.2024","Entertainment",2021974,26338,90,"2024-10-26 15:15:14","https://i.ytimg.com/vi/fu1bNFbbecE/hqdefault.jpg","",696000,1623,True,"3:28:25"
"😊Let’s Treat The Hedgehog To A Chestnut Feast!🦔🍭  #catvideo #catmemes #trending","Pets & Animals",30178185,342844,522,"2024-10-19 12:00:25","https://i.ytimg.com/vi/P2z1W-I5Kmo/hqdefault.jpg","smart cat,catsofyoutube,challenge,funny video,tiktok newest,tiktok viral,tiktok reaction,best cat tiktok,cute and funny cat,oscar funny world,oscar's funny world,funny cat oscar,funny prank,special effect,spider-man,magic tricks,don’t waste food",16000000,833,True,"0:00:20"
"Giải cứu màu hồng ""CÁNH SEN"" P1 #xonhaBun #viral #comedy #trending #shorts #giadinhhaihuoc","People & Blogs",1102790,13900,28,"2024-10-26 09:10:00","https://i.ytimg.com/vi/1whv7p8vmWQ/hqdefault.jpg","xó nhà bún,xóm nhà bún,nhà bún,tiktok xó nhà bún,tiktok trend,xó nhà Bún,gia đình hài hước,gia đình vui nhộn,cặp đôi hài hước,khoảnh khắc vui nhộn,tiktok,xonhabun,vlog,dailyvlog,xó nhà bún tiktok,xó nhà bún đi đẻ,xó nhà bún đi du lịch,xó nhà bún vlog,vlog gia đình,tiktok gia đình,vlog xó nhà bún,nhà bún vlog,gia đình nhà bún,bố bún,mẹ bún,bún bún,em bé bún,mẹ bún có bầu",423000,379,True,"0:00:57"
"这娘俩太坏了！竟然这样欺负爸爸 #funny #萌娃 #搞笑#cutebaby","People & Blogs",8750482,57703,65,"2024-10-16 08:30:07","https://i.ytimg.com/vi/BylEgT5vleI/hqdefault.jpg","可爱小甜甜,家庭搞笑视频,亲子互动,搞笑日常,创意挑战,家庭娱乐,父母子女,幽默生活,家庭趣事,日常娱乐,亲子游戏,家庭视频,乐趣分享,视频创作,家庭日常,家庭欢乐,儿童搞笑,家庭成员,欢乐时光,父母教育,娱乐视频,家庭活动,儿童成长,亲子内容,父母互动,幽默视频,家庭故事,亲子关系,父母指导,家庭生活",294000,478,False,"0:00:20"
"Lỗi Cực Hay Trong Blox Fruit 🤯 #dauhudeptrai #bloxfruits","Gaming",1415982,39238,242,"2024-10-20 12:08:21","https://i.ytimg.com/vi/orV6LT259kw/hqdefault.jpg","đậu hủ gaming,đậu hủ đẹp trai,đậu hủ đẹp xài,đậu hủ,đậu hủ chơi game,đậu hủ chơi blox fruit,blox fruits,vật phẩm mạnh nhất trong blox fruits,Hành Trình Đi Săn Leviathan Lấy Loại Võ Mạnh Nhất Blox Fruit,Săn leviathan,cách săn leviathan,loại võ mạnh nhất blox fruit,võ huyết quỷ thuật,dauhugaming,dauhudeptrai,dauhu,game,game blox fruits,game nhập vai",179000,69,True,"0:00:35"
"Ủa phụ ngoại mà mẹ làm gì kì #tinnguyen #dienvientinnguyen","Entertainment",976721,11332,26,"2024-10-21 07:33:26","https://i.ytimg.com/vi/LqxGt3R9dCo/hqdefault.jpg","tín nguyễn official,tín nguyễn,tín nguyễn comedy,tiktoker tín nguyễn,diễn viên tín nguyễn,clip hài tín nguyễn,bé tín nguyễn,tin nguyen,dien vien tin nguyen,be tin nguyen,tín nguyễn shorts,shorts tín nguyễn,các bước làm nũng,hài hước,tín nguyễn làm nũng,tín nguyễn làm con nít,bé tín,tín nguyễn làm em bé,tín nguyễn giả làm em bé,ăn hiếp út tín,út tín,tín nguyễn funny,sống hết mình,tín nguyễn du lịch",2240000,781,False,"0:00:18"
"Nutella &GO Chocolate Dipping | ASMR","Entertainment",30460033,345720,0,"2024-10-15 08:55:50","https://i.ytimg.com/vi/KH_Tet3OQZE/hqdefault.jpg","",4190000,1209,False,"0:00:21"
"Tạp hóa bất ổn p203(bánh tráng cay nhất hành tinh)#shorts","People & Blogs",2555370,39248,59,"2024-10-17 10:00:27","https://i.ytimg.com/vi/E3nEgQh-2L0/hqdefault.jpg","Thủy mít,Tạp hóa bất ổn,Đồ ăn vặt tuổi thơ,Tạp hóa ăn vặt,Tạp hóa hài hước,Đồ ăn tuổi thơ,Tiktok,Video vui nhộn,Tạp hóa học sinh,Siêu thị đồ ăn,Giải trí,Hài hước,Vui nhộn,Bánh tráng cay,Đồ ăn siêu cay,Chân gà siêu ngon,Thuymit official,Thủy mít tạp hoá bất ổn,Thủy mít official tạp hoá",649000,281,False,"0:00:59"
"Bóc trần sự thật #papataiche #shorts","Entertainment",1224330,17557,81,"2024-10-26 11:30:27","https://i.ytimg.com/vi/hqg3ZUQwII4/hqdefault.jpg","papa tái chế,33 tái chế,papa tai che,ba ba tái chế,papa tái chế chống trộm,tái chế,gia đình đậu,papa tái chế đậu có em,đồ chơi tái chế,gia đình nhà đậu,gia đình papa,papa tái chế máy gắp thú,nhà papa tái chế,đậu đậu,bé đậu,đậu papa tái chế,chuyện nhà đậu,papa tái chế lì xì,papataiche,baba tai che,tiktok triệu view,tiktok hài hước,tiktok việt nam,tiktok hài hước việt nam,tiktok xu hướng,clip tiktok xu hướng hiện nay,xu hướng tiktok",604000,416,True,"0:00:48"
"Lễ tuyên thệ nhậm chức của Chủ tịch nước Lương Cường | VTV24","News & Politics",2387852,85010,16,"2024-10-21 10:00:49","https://i.ytimg.com/vi/neaHdRlTs90/hqdefault.jpg","tin tức,vtv24,trung tâm tin tức vtv24,VTV Digital,tin tức vtv,thời sự vtv,thời sự vtv24,tin tức trong ngày,chuyển động 24h,tintuc,tin tuc,lễ tuyên thệ nhậm chức,chủ tịch nước,lương cường,lương cường chủ tịch nước",5990000,42412,False,"0:19:06"
